facility,equipment,equipment_desription,equipment_type
IND019,67787,"MOTOR, TURBINE LOP#3",Turbine
IND019,67788,"MOTOR, TURBINE LOP#4",Turbine
IND019,67789,"PUMP, MAC#3 MAIN OIL PUMP",Pump
IND019,67790,"PUMP, MAC#4 MAIN OIL PUMP",Pump
IND019,67791,"ANALYZER, AE11 TOTAL HYDROCARBON IN MC O2",Analyzer
IND019,67793,"TRANSFORMER, 33/11 KV, 40/50 MVA TR- 02",Transformer
IND019,67799,"PUMP, COMPRESSOR WHEEL  WASH",Pump
IND019,67801,"HX, CHILLER#3 CONDENSER",Chiller
IND019,67803,"HX, CHILLER#4 CONDENSER",Chiller
IND019,67804,"HX, DUAL SERVICE AFTER COOLER",Hx
IND019,67805,"HX, MAC#3 LUBE OIL COOLER",Lube
IND019,67806,"HX, MAC#4 LUBE OIL COOLER",Lube
IND019,67812,"FILTER, PREPURIFIER DUST",Filter
IND019,67816,"HEATER, MAC#3 LUBE OIL",Heater
IND019,67818,"HEATER, MAC#4 LUBE OIL",Heater
IND019,67819,"PUMP, MAC#4  AUX OIL PUMP",Pump
IND019,67820,"FAN, FADV",Fan
IND019,67821,"HEATER, TURBINE LUBE OIL",Turbine
IND019,IND019-ELEC-SWGR,"ELECTRICAL, SWITCHGEAR",SwitchGear
IND019,IND019-GENL- ROUTE,IND019-GENL- ROUTE,General
IND019,IND019-GENL-CSS-SA-39-1.MC,"INSTRUMENTS, CSS: SA-39-1 - MAIN. CONDENSER ENERGY REL. PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-10,"INSTRUMENTS, CSS: SA-39-10 -ANALYSER FUEL GAS FLOW LIMITER",Instruments
IND019,IND019-GENL-CSS-SA-39-12.ANLZ,"INSTRUMENTS, CSS: SA-39-12-ANLZ ROOM SAFE O2 BREATHING ATM.",Instruments
IND019,IND019-GENL-CSS-SA-39-15,"INSTRUMENTS, CSS: SA-39-15-PACKED COLUMN ENERGY REL. PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-18.O2PP1,"INSTRUMENTS, CSS: SA-39-18-PRODUCT O2 PUMP.1 ENERGY REL. PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-18.O2PP2,"INSTRUMENTS, CSS: SA-39-18-PRODUCT O2 PUMP.2 ENERGY REL. PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-19,"INSTRUMENTS, CSS: SA-39-19-FADV SPILL PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-22,"INSTRUMENTS, CSS: SA-39-22 -PHX O2 BLR.ENERGEY REL. PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-46.O2PP,"INSTRUMENTS, CSS: SA-39-46 -O2 PROCESS PUMP OVER PRESS. PROTECTION",Instruments
IND019,IND019-GENL-CSS-SA-39-7. O2 TO,"INSTRUMENTS, CSS: SA-39-7 - O2 TO PHX . PIPE LINE BREAK PREVENTION",Instruments
IND019,IND019-GENL-CSS-SA-39-7.PHXPLN,"INSTRUMENTS, CSS: SA-39-7 - PRODUCT O2  LINE FROM PHX BREAK PREVENTION",Instruments
IND019,IND019-GENL-ELEC,IND019-GENL-ELEC,General
IND019,IND019-GENL-INST,"INSTRUMENTATION,GENERAL",Instrumentation
IND019,IND019-GENL-ROUTE,GENERAL,General
IND019,IND019-GENL-ROUTE-EQUIP,IND019-GENL-ROUTE-EQUIP,General
IND019,IND019-GENL-ROUTE-IR,IND019-GENL-ROUTE-IR,General
IND019,IND019-GENL-ROUTE-OIL,IND019-GENL-ROUTE-OIL,General
IND019,IND019-GENL-ROUTE-VIB,IND019-GENL-ROUTE-VIB,General
IND019,IND019-GENL-VALVE,"GENERAL, VALVE",Valve
IND019,IND019-GENL-VALVE-PRVLIST.STAT,IND019-GENL-VALVE-PRVLIST.STAT,Valve
IND019,IND019-INST-ACS-COMPUTER,IND019-INST-ACS-COMPUTER,Computer
IND019,IND019-INST-ACS-PLC,IND019-INST-ACS-PLC,PLC
IND019,IND019-INST-ANAL-CAL.GAS.CYL,"ANALYZER, CALIBRATION GAS CYLINDERS",Analyzer
IND019,IND019-PLT3-CHLR,CHILLER,Chiller
IND019,IND019-PLT3-MAC.3,MAIN AIR COMPRESSOR 3,Compressor
IND019,IND019-PLT3-MAC.3-FLTR.ASFH,MAC # 3 FILTER HOUSE,Filter
IND019,IND019-PLT3-MAC.3-INST.ASFH,IND019-PLT3-MAC.3-INST.ASFH,General
IND019,IND019-PLT3-MAC.4,MAIN AIR COMPRESSOR 4,Compressor
IND019,IND019-PLT3-MAC.4-FLTR.ASFH,MAC # 4 FILTER HOUSE,Filter
IND019,IND019-PLT3-MAC.4-INST.ASFH,IND019-PLT3-MAC.4-INST.ASFH,General
IND019,IND019-PLT3-PP,PREPURIFIER,Prepurifier
